,user_id,lgb
38,49,"[1139782, 867016, 7409644, 1033814, 1125391]"
39,52,"[10355865, 837669, 878026, 1116020, 883940]"
40,53,"[1105623, 848154, 964853, 833940, 944823]"
41,55,"[844165, 882496, 1012052, 1110743, 6391086]"
42,56,"[9655212, 9803545, 891415, 963835, 1003321]"
43,57,"[1010870, 9245108, 872062, 970160, 13213475]"
44,58,"[1054216, 1016129, 1008212, 1093966, 915493]"
45,59,"[1086061, 919180, 10457128, 855718, 829972]"
46,60,"[855138, 908318, 5563693, 873627, 943393]"
47,63,"[872342, 1126899, 995242, 834117, 9858920]"
48,64,"[1013928, 1093413, 828370, 902659, 952893]"
49,65,"[12330856, 12330794, 9483753, 909800, 961889]"
50,67,"[1069039, 998621, 1139782, 1139651, 972437]"
51,68,"[1085604, 1037894, 883404, 921614, 826249]"
52,69,"[1019497, 1044188, 845163, 5570109, 6979427]"
53,70,"[1075368, 844165, 1079528, 844179, 1130375]"
54,71,"[10149656, 7433888, 926905, 973135, 1016800]"
55,72,"[991874, 938596, 8019681, 963286, 12695977]"
56,73,"[1110572, 1138189, 1135868, 1011300, 834103]"
57,74,"[1058021, 914754, 862732, 1015974, 898601]"
58,75,"[1126899, 995242, 908531, 1058997, 862349]"
59,76,"[854754, 1058997, 7024830, 992985, 862987]"
60,77,"[6979128, 861021, 1055425, 849578, 955921]"
61,78,"[995055, 9420312, 1039627, 8205218, 5591154]"
62,79,"[1103513, 944167, 1010164, 864741, 1087411]"
63,80,"[828331, 884145, 1038462, 1011298, 1048315]"
64,81,"[898847, 988136, 845193, 995230, 901976]"
65,82,"[1084036, 847573, 874972, 910473, 1037337]"
66,83,"[906658, 12692332, 980984, 912807, 905998]"
67,84,"[903529, 920025, 984283, 901061, 846482]"
68,85,"[983936, 1139782, 839094, 864312, 849578]"
69,86,"[1135195, 820301, 899201, 865026, 5569376]"
70,87,"[1079528, 881883, 9670915, 958137, 6391089]"
71,88,"[992985, 12949590, 965982, 888104, 9526672]"
72,89,"[1018050, 862732, 8119318, 906017, 1112205]"
73,90,"[885290, 1076954, 1005274, 6533681, 1070076]"
74,91,"[838637, 5569098, 910151, 1000148, 911088]"
75,92,"[911409, 987838, 895268, 926065, 877447]"
76,94,"[1055504, 981760, 8090532, 1096317, 1134398]"
77,95,"[1138858, 870929, 945652, 849018, 1088771]"
78,97,"[6463752, 1075368, 835618, 1114765, 880888]"
79,98,"[1091858, 1018278, 847241, 1095040, 9333437]"
80,99,"[916487, 824073, 883404, 992151, 868015]"
81,101,"[1079820, 1119089, 1090931, 1036661, 1119112]"
82,103,"[961846, 1089766, 1076875, 842423, 1011832]"
83,104,"[1002261, 996156, 930955, 1011300, 888431]"
84,105,"[1135868, 1041984, 919596, 889649, 901543]"
85,106,"[906844, 910473, 993466, 1107553, 1116050]"
86,108,"[15596834, 1066893, 925854, 896611, 964717]"
87,109,"[1135886, 862682, 8019954, 902659, 1106601]"
88,110,"[10204440, 845677, 827683, 1074738, 896757]"
89,111,"[932179, 9677874, 9837076, 5995626, 945652]"
90,112,"[1011300, 1058272, 1029983, 1029504, 917033]"
91,113,"[947427, 833458, 962970, 947201, 7410348]"
92,114,"[5568489, 7025203, 8249227, 1017739, 999581]"
93,115,"[12648296, 7154535, 5567428, 989275, 6034569]"
94,116,"[1104343, 976199, 1019637, 995242, 821083]"
95,117,"[852235, 866528, 10285106, 852360, 928589]"
96,118,"[935968, 1083043, 881260, 1041984, 897409]"
97,119,"[5581464, 5565664, 920002, 1045790, 923670]"
98,120,"[993466, 840227, 1111129, 1121384, 1006342]"
99,121,"[839162, 5563934, 12782181, 961730, 1065979]"
100,122,"[1116635, 1086119, 6463717, 6464147, 7442004]"
101,123,"[1048750, 1110983, 1031864, 1019247, 7025114]"
102,124,"[1037840, 947798, 1139960, 933822, 957951]"
103,125,"[1057749, 1095710, 890689, 6919433, 1006922]"
104,127,"[13842214, 1025326, 901543, 865357, 926033]"
105,128,"[12263857, 9420337, 1015296, 883963, 886317]"
106,131,"[1099802, 823098, 997725, 920455, 1407216]"
107,132,"[843659, 15926507, 870428, 878715, 983078]"
108,133,"[12263857, 5590661, 13654702, 1135971, 999599]"
109,135,"[852360, 13654702, 899682, 854754, 1048750]"
110,136,"[1089766, 865511, 1038462, 6463986, 1137507]"
111,138,"[1009361, 1006906, 1069306, 970158, 913046]"
112,139,"[1050741, 1032512, 1111493, 1134006, 1005898]"
113,142,"[1082212, 1093966, 1013826, 997011, 957420]"
114,143,"[1020156, 878676, 12731714, 13842088, 869728]"
115,144,"[1008626, 928589, 930283, 842423, 901976]"
116,145,"[1057749, 9858794, 6919433, 1079223, 938863]"
117,147,"[877447, 987410, 1082172, 844759, 1094619]"
118,148,"[1003487, 835058, 6442908, 972726, 5568489]"
119,149,"[6533936, 873044, 1112333, 1093334, 922753]"
120,151,"[1028473, 917249, 956200, 1133191, 1111292]"
121,152,"[1037332, 882308, 852235, 879504, 993441]"
122,153,"[1006063, 6979220, 12984227, 1091644, 951221]"
123,154,"[15926886, 982790, 832678, 983584, 1011300]"
124,155,"[1079528, 827671, 843558, 908145, 1015280]"
125,156,"[861445, 849843, 984680, 919828, 1082269]"
126,157,"[919589, 9296804, 12524174, 945652, 9420181]"
127,158,"[1025641, 12731714, 977543, 997423, 1021519]"
128,159,"[8205218, 963517, 978129, 853124, 13115525]"
129,160,"[5580525, 833598, 1079878, 6772782, 7442098]"
130,161,"[868764, 9677202, 12352054, 935527, 13115667]"
131,162,"[902856, 875396, 10456575, 1031906, 1022428]"
132,163,"[1018050, 1009449, 1121393, 1112205, 854754]"
133,164,"[970605, 13007352, 896803, 6391289, 839605]"
134,165,"[902846, 8090556, 1028238, 1112205, 5568072]"
135,166,"[1075368, 880888, 1052294, 944486, 935570]"
136,167,"[6391163, 9297151, 15452641, 15596834, 1006063]"
137,171,"[834103, 987724, 1016800, 907392, 895680]"
138,172,"[891632, 1048746, 1118046, 906838, 1048750]"
139,175,"[994685, 1103317, 1006188, 1044971, 1095944]"
140,177,"[1033814, 8203451, 1059236, 1121213, 1059527]"
141,178,"[827656, 963686, 1085604, 972312, 1116376]"
142,180,"[1013928, 830503, 883819, 873754, 8013544]"
143,182,"[1083787, 898466, 9835606, 903191, 888111]"
144,183,"[823862, 1036753, 1013291, 1042616, 1072086]"
145,184,"[896085, 907957, 6632986, 6534229, 1108776]"
146,185,"[870428, 1065122, 1127825, 8019977, 1092149]"
147,188,"[6704207, 1096066, 941183, 1115971, 868972]"
148,189,"[13841744, 996156, 9707498, 833598, 1135868]"
149,191,"[13842088, 929341, 971159, 9707080, 912004]"
150,192,"[1082212, 854373, 7409790, 884756, 878676]"
151,193,"[1125199, 1104205, 854270, 6704207, 5565322]"
152,194,"[987838, 6391381, 1041259, 1053403, 9803819]"
153,195,"[1131382, 13008334, 7167836, 5570406, 7166756]"
154,196,"[1102456, 6464126, 929726, 1108488, 926905]"
155,197,"[963835, 909915, 868588, 1002591, 881154]"
156,198,"[837720, 937110, 1117121, 9677874, 866548]"
157,199,"[1082212, 1135195, 889731, 1098694, 991951]"
158,200,"[1138189, 1031083, 1089766, 928263, 985234]"
159,201,"[1138292, 1066893, 972665, 1103476, 1099905]"
160,203,"[1082990, 9523058, 13910669, 43020, 924978]"
161,204,"[923670, 1131892, 982955, 1030455, 938118]"
162,205,"[819840, 923751, 1100124, 1115577, 895268]"
163,206,"[1110572, 831063, 879755, 1037840, 1044188]"
164,207,"[1133893, 6979049, 933633, 895680, 1088429]"
165,208,"[12352293, 1064443, 879504, 907308, 991546]"
166,209,"[10457128, 1080472, 824073, 1051071, 1130720]"
167,210,"[910473, 1034134, 853235, 978354, 1109805]"
168,211,"[862732, 907099, 841266, 998424, 1006878]"
169,212,"[888054, 8090560, 981591, 5568758, 870372]"
170,214,"[1010590, 13213453, 6979526, 5566674, 1027372]"
171,215,"[14025461, 1112333, 6391089, 1016298, 1069047]"
172,216,"[6533936, 874832, 974204, 908217, 974156]"
173,217,"[1090286, 1068576, 7441668, 1053403, 1126045]"
174,218,"[13842088, 1097001, 5589662, 13842160, 878715]"
175,219,"[916758, 1010578, 1137507, 1061203, 6533681]"
176,220,"[10204440, 852360, 918046, 955403, 899682]"
177,221,"[6424464, 6424460, 888004, 1116138, 910309]"
178,222,"[999779, 1071759, 856335, 1083856, 1094190]"
179,223,"[873324, 1018822, 970152, 1036661, 1075765]"
180,224,"[850925, 1056267, 837107, 1031740, 15926927]"
181,225,"[1043663, 839152, 1121656, 1119089, 943393]"
182,226,"[844166, 820612, 891505, 1102416, 893851]"
183,227,"[845193, 898601, 871722, 864658, 1011427]"
184,228,"[1139782, 917033, 874753, 5569135, 1046555]"
185,230,"[964813, 941183, 1107553, 5572828, 1053058]"
186,232,"[1049922, 1041531, 1101449, 1016800, 996750]"
187,233,"[1122568, 15926927, 1053690, 1131488, 862535]"
188,235,"[862732, 1128464, 1123434, 820011, 885710]"
189,236,"[5565840, 1010190, 1050038, 1091090, 827631]"
190,237,"[893501, 9677202, 1037840, 862335, 982790]"
191,238,"[1102416, 868764, 864137, 839208, 1013407]"
192,239,"[976864, 910439, 851508, 1065496, 1108168]"
193,240,"[1011300, 894439, 1038663, 1110111, 995311]"
194,242,"[939681, 978343, 862732, 853643, 1000236]"
195,243,"[906017, 9524511, 1135044, 9483753, 993441]"
196,244,"[9268043, 6533681, 908283, 896757, 948232]"
197,245,"[12731517, 972416, 935968, 1089066, 12731543]"
198,246,"[911470, 1015974, 819304, 978313, 941368]"
199,247,"[1134292, 878445, 901976, 1120362, 1112754]"
200,248,"[862732, 915064, 9655242, 13417846, 1093966]"
201,249,"[930838, 947316, 15926927, 1058021, 935990]"
202,250,"[1076875, 844165, 923967, 840227, 923169]"
203,251,"[932503, 1038462, 1002832, 1002261, 1056847]"
204,253,"[12731544, 1020739, 873577, 965693, 992985]"
205,254,"[859237, 862535, 1122568, 1054262, 1014948]"
206,255,"[938139, 847344, 1082212, 1050038, 942475]"
207,256,"[1111786, 1002178, 9655242, 1006250, 1060193]"
208,257,"[1093413, 10204440, 911622, 6396492, 918046]"
209,258,"[935968, 9420312, 1078666, 7443013, 824796]"
210,259,"[822259, 1075007, 6391381, 881154, 1091090]"
211,260,"[921836, 880427, 848071, 855138, 1019643]"
212,261,"[13842214, 1076875, 1082990, 918368, 908318]"
213,262,"[1124971, 1008814, 849843, 858999, 917427]"
214,263,"[855138, 937928, 1117358, 831063, 864312]"
215,267,"[901976, 929373, 1011457, 1126899, 1075368]"
216,269,"[1139782, 907957, 12731467, 7409644, 965530]"
217,271,"[861445, 921504, 819978, 1004613, 904997]"
218,273,"[1043663, 1069538, 6979579, 856818, 1030455]"
219,275,"[857554, 962615, 825703, 918638, 924004]"
220,276,"[825317, 5588161, 847803, 13115894, 13512542]"
221,277,"[841266, 985911, 898601, 826249, 1012922]"
222,278,"[871514, 1080677, 881119, 1048300, 1070719]"
223,279,"[1082212, 12731470, 1133893, 858999, 12731701]"
224,280,"[9416729, 12731544, 978376, 1097849, 958594]"
225,281,"[1018050, 1099905, 934369, 934399, 862070]"
226,282,"[6464074, 7166845, 998557, 5571261, 7168129]"
227,283,"[1125601, 984680, 1108094, 7409644, 1019637]"
228,285,"[1013389, 878739, 9270796, 10285303, 1064574]"
229,286,"[1115069, 1120361, 5571541, 1109370, 8015407]"
230,287,"[837647, 9297310, 1075275, 10204440, 9297055]"
231,288,"[1054539, 841309, 1005456, 932179, 5577022]"
232,289,"[1125497, 923528, 1042765, 1050082, 12384177]"
233,290,"[873964, 9420312, 995230, 12582219, 838797]"
234,291,"[1120213, 911311, 9297055, 1108131, 1031740]"
235,292,"[961730, 9420312, 827683, 1009821, 856455]"
236,293,"[13008334, 866528, 1014238, 9553382, 842455]"
237,294,"[9245108, 983936, 1088683, 932949, 832661]"
238,297,"[10285373, 915459, 853622, 1043920, 1095040]"
239,300,"[989935, 908856, 1005107, 6039859, 1121656]"
240,301,"[898510, 12757280, 9837807, 1015474, 923849]"
241,302,"[1045220, 10455568, 983753, 907308, 820301]"
242,303,"[6534074, 1082141, 935770, 822225, 9487613]"
243,304,"[868764, 6979753, 1100658, 1056267, 9527184]"
244,305,"[1031083, 885290, 1133850, 1070898, 941532]"
245,306,"[1049735, 838940, 1069003, 878442, 7467039]"
246,307,"[1074040, 1065259, 1019637, 1082172, 908314]"
247,308,"[887102, 963835, 911401, 1049906, 821741]"
248,311,"[1110111, 855916, 10456613, 976114, 965050]"
249,314,"[882308, 1053628, 820486, 849697, 979523]"
250,316,"[980666, 859154, 869903, 1125891, 934369]"
251,317,"[842783, 953539, 881154, 1099905, 825170]"
252,318,"[7025203, 1134522, 875089, 7442007, 995230]"
253,319,"[1019247, 935993, 944526, 1034955, 853197]"
254,320,"[872382, 1069003, 866355, 837270, 934369]"
255,321,"[905436, 1116050, 976114, 830203, 5580166]"
256,322,"[909472, 8090556, 906309, 6533394, 7467081]"
257,324,"[1057260, 1112667, 1010681, 920002, 9677466]"
258,325,"[1076954, 5590661, 870871, 9527174, 1020156]"
259,326,"[8090521, 1110572, 1137346, 8090537, 852856]"
260,328,"[821083, 1028473, 12525270, 1048257, 972191]"
261,329,"[831125, 934369, 943393, 977497, 1135971]"
262,331,"[5569135, 5565322, 1103752, 5565664, 1044188]"
263,332,"[1056267, 7160185, 13512737, 13842214, 6464165]"
264,334,"[826144, 1064280, 9526572, 1094562, 1123536]"
265,335,"[1041259, 1006483, 5995626, 13002975, 1005456]"
266,338,"[819840, 1015375, 887219, 1015296, 928932]"
267,339,"[1031492, 1082172, 1096066, 1027102, 1122732]"
268,341,"[925854, 1044188, 5572308, 834103, 834396]"
269,342,"[940023, 1123536, 938554, 918688, 824193]"
270,343,"[1092588, 987571, 1012052, 1098435, 6979427]"
271,345,"[6602697, 9833335, 1048483, 856788, 1010051]"
272,346,"[9245108, 1101010, 903019, 1083446, 954525]"
273,347,"[1110572, 885290, 1057260, 1009449, 821083]"
274,348,"[978129, 887234, 8359154, 853124, 1006555]"
275,349,"[844179, 960791, 1011300, 1044078, 945805]"
276,350,"[834103, 940023, 1085604, 1082269, 13190349]"
277,351,"[8020166, 1052155, 13842214, 13842090, 894439]"
278,353,"[6978886, 13008321, 13907063, 1015694, 9677486]"
279,354,"[1030182, 866292, 860703, 1008814, 1071733]"
280,356,"[1049735, 947798, 1086119, 1082310, 1073150]"
281,357,"[891516, 909800, 867447, 1133893, 1013528]"
282,358,"[12757544, 5568489, 937626, 949294, 833458]"
283,360,"[8181495, 1138189, 825703, 889649, 7025114]"
284,361,"[826249, 960984, 907308, 898601, 917033]"
285,362,"[1081533, 1128395, 1126045, 937454, 900697]"
286,364,"[936355, 982790, 832678, 9416729, 855138]"
287,365,"[1136719, 1062128, 1028238, 5566309, 949784]"
288,367,"[823775, 1047769, 1135096, 1031864, 877447]"
289,368,"[1061747, 956125, 9881593, 882308, 940023]"
290,371,"[941368, 919423, 6533608, 1094107, 1115057]"
291,374,"[879755, 1015296, 12524016, 1108094, 1075786]"
292,375,"[1058021, 1029504, 1044895, 8090532, 8090537]"
293,376,"[1061220, 1076875, 923208, 995055, 873324]"
294,377,"[1094924, 994223, 1003616, 9338009, 945139]"
295,378,"[904833, 954642, 916990, 13213475, 1002178]"
296,380,"[1098284, 1069863, 935570, 1090706, 12731386]"
297,381,"[1075368, 1019247, 878715, 1031065, 1079482]"
298,382,"[999250, 823862, 1125278, 881883, 9364612]"
299,384,"[1068957, 1061394, 869868, 999090, 8019977]"
300,385,"[1057260, 909472, 1124971, 878715, 1006906]"
301,386,"[977499, 1088191, 1139023, 954997, 956125]"
302,387,"[902856, 9925966, 1009719, 9832529, 925694]"
303,388,"[1029504, 881154, 5591609, 820612, 13213015]"
304,389,"[13115981, 891632, 10344585, 996795, 1019942]"
305,390,"[1058243, 888543, 1072693, 1064542, 894439]"
306,392,"[1028473, 963835, 1092588, 964853, 992150]"
307,393,"[10457128, 972312, 963686, 901205, 926033]"
308,394,"[1053988, 833598, 6391381, 825118, 6463520]"
309,395,"[1093030, 834129, 1070076, 1017890, 1104604]"
310,396,"[834103, 879031, 1131384, 1010424, 6039586]"
311,397,"[13842214, 892573, 931255, 6904613, 9297319]"
312,398,"[871513, 901976, 992985, 1089066, 898601]"
313,399,"[13841744, 1037840, 982790, 1058930, 972665]"
314,400,"[5567702, 5566235, 12695874, 1049735, 8090560]"
315,401,"[827683, 942166, 6396492, 7025046, 861499]"
316,402,"[13842214, 13842090, 1007911, 853448, 1042571]"
317,403,"[10344971, 12731685, 1130375, 10344585, 901460]"
318,404,"[9392953, 1092588, 948239, 1108152, 864893]"
319,405,"[1070076, 13842088, 948670, 974156, 1012052]"
320,406,"[910309, 823775, 6919354, 1020156, 834303]"
321,408,"[862799, 872062, 1112824, 995276, 1080677]"
322,409,"[856345, 1038443, 13007600, 852572, 981716]"
323,410,"[1096066, 12731467, 850925, 901976, 9835619]"
324,411,"[9677874, 1046047, 852181, 911338, 909800]"
325,412,"[1012052, 13654702, 5570406, 1094562, 939527]"
326,413,"[970160, 1048257, 1038985, 5568606, 827999]"
327,414,"[872066, 1085333, 850652, 1014999, 1041928]"
328,415,"[864893, 995242, 1133018, 1126899, 872762]"
329,417,"[1002261, 1008675, 866828, 995276, 878739]"
330,418,"[13190349, 852360, 1022340, 12385477, 983316]"
331,419,"[928754, 1102416, 1071759, 1114605, 1072917]"
332,420,"[1103629, 971949, 1021116, 937626, 851676]"
333,421,"[9803483, 1031864, 859987, 1088191, 9676851]"
334,424,"[9803591, 897083, 9802756, 868588, 1088429]"
335,425,"[1134143, 969419, 1039627, 822407, 870428]"
336,426,"[1088544, 899682, 14106445, 1130111, 834129]"
337,427,"[12673354, 893501, 948670, 1054539, 1102416]"
338,430,"[10456015, 843744, 1089705, 1006483, 1062095]"
339,431,"[10198378, 1092937, 868015, 1109370, 908504]"
340,432,"[1089766, 10457128, 1027773, 1043895, 1069039]"
341,433,"[849003, 6979518, 998373, 960791, 7410017]"
342,434,"[1096099, 845109, 1046587, 837751, 7166672]"
343,435,"[8090537, 929726, 1075368, 1004906, 1053690]"
344,436,"[878764, 934399, 1039239, 10457233, 1038325]"
345,437,"[9803684, 1044500, 1022984, 1135932, 828219]"
346,438,"[873902, 9881593, 962991, 999599, 1014802]"
347,439,"[1037840, 870515, 1086119, 1096099, 1136524]"
348,441,"[1038985, 6533681, 1124971, 1001412, 906844]"
349,442,"[879755, 1125391, 962615, 1011926, 1136654]"
350,443,"[1057260, 1110983, 1065331, 1128464, 873056]"
351,445,"[852235, 1006878, 947211, 849578, 1103513]"
352,446,"[880427, 1009449, 1044259, 1011300, 888586]"
353,447,"[1057260, 1036419, 937626, 999971, 1131892]"
354,448,"[1128016, 9835695, 7166861, 1058997, 986912]"
355,449,"[982790, 1078763, 1063907, 8066803, 907625]"
356,450,"[13842214, 13842090, 922907, 905539, 863762]"
357,451,"[999189, 908314, 1049922, 1109014, 859987]"
358,452,"[1061220, 1110572, 842392, 8205218, 947798]"
359,454,"[6463752, 6464208, 1019247, 913814, 1083787]"
360,456,"[1017363, 901916, 1083856, 1118547, 852180]"
361,457,"[1065122, 13003094, 1086483, 1135468, 9469110]"
362,458,"[828588, 1027372, 910439, 1060912, 859987]"
363,459,"[885290, 844165, 972312, 863762, 855138]"
364,460,"[873887, 885939, 862732, 7025106, 993466]"
365,461,"[918684, 997907, 10344585, 886703, 1029504]"
366,462,"[1106073, 928589, 1011926, 970160, 955921]"
367,463,"[1036093, 1055504, 891516, 838797, 15452705]"
368,464,"[6039994, 12599601, 1012584, 1103562, 841266]"
369,466,"[1025611, 895652, 918368, 989069, 1072523]"
370,467,"[9296804, 6979089, 12384689, 12384601, 911470]"
371,468,"[1098284, 1131506, 1073506, 883912, 827683]"
372,469,"[1098435, 972437, 1005849, 907392, 857262]"
373,470,"[908314, 871633, 930385, 6463520, 7167847]"
374,471,"[1018050, 880427, 1121393, 888586, 13654702]"
375,472,"[831063, 840227, 972665, 921504, 9487606]"
376,473,"[1053016, 1019247, 825170, 1035207, 1060374]"
377,474,"[1031083, 1088683, 838739, 1038462, 1038325]"
378,475,"[9655212, 839208, 1078666, 907392, 941183]"
379,476,"[845193, 1056847, 1095227, 1002261, 956125]"
380,477,"[935968, 993466, 1048483, 7025106, 832678]"
381,479,"[1085604, 839262, 1001845, 864893, 888111]"
382,480,"[1047769, 854754, 5563693, 842416, 1015694]"
383,481,"[868764, 1074283, 878676, 1050741, 1096727]"
384,482,"[8205218, 1103629, 1093413, 1038745, 928049]"
385,483,"[12731470, 929628, 956125, 1052729, 821134]"
386,484,"[1111129, 1054644, 6514287, 13381928, 1009769]"
387,485,"[7166861, 837579, 845193, 972665, 12731470]"
388,486,"[1061220, 837270, 1068343, 951590, 1051323]"
389,487,"[1092264, 1126899, 862682, 952317, 984575]"
390,488,"[1018050, 997309, 1038745, 987838, 871611]"
391,489,"[893042, 13842088, 1019247, 914012, 858743]"
392,490,"[12183644, 13512017, 944317, 9487534, 1075368]"
393,491,"[838940, 6533936, 853197, 1039927, 852690]"
394,493,"[1001017, 834103, 1120362, 1070723, 835634]"
395,495,"[899201, 906443, 998236, 1116020, 951164]"
396,496,"[999270, 823990, 944534, 8090532, 895295]"
397,497,"[1012913, 5567148, 12428210, 965530, 1065303]"
398,498,"[1005172, 849697, 1072693, 1028891, 961846]"
399,501,"[878222, 932949, 6396492, 995242, 866540]"
400,502,"[1135868, 901976, 873754, 1038462, 920367]"
401,503,"[971983, 1073150, 1127716, 835296, 1072693]"
402,505,"[962991, 8090521, 1010190, 7166861, 8090537]"
403,506,"[1049372, 1076608, 13671735, 921438, 9878513]"
404,507,"[9670915, 1036501, 857554, 1044259, 839094]"
405,510,"[1036501, 9837807, 881436, 1112205, 1131115]"
406,511,"[7433029, 879755, 1071171, 1116635, 1006664]"
407,512,"[1110572, 842392, 1089766, 1018740, 847344]"
408,513,"[1093413, 1119089, 865026, 1117690, 898121]"
409,514,"[923169, 852235, 1126786, 13381458, 835595]"
410,515,"[5580166, 1038462, 861792, 6533368, 6979753]"
411,517,"[888233, 887234, 1107973, 13417846, 1014054]"
412,518,"[952408, 862732, 1038985, 961730, 1090676]"
413,519,"[888586, 942166, 1071446, 972191, 917249]"
414,520,"[1104343, 7082640, 1039505, 906763, 5565322]"
415,521,"[1056212, 8205218, 891061, 8090440, 835243]"
416,523,"[1110572, 13842214, 970861, 1057260, 898121]"
417,524,"[1018050, 7409918, 888586, 980353, 12263857]"
418,525,"[1124971, 1082269, 910207, 9832514, 853448]"
419,526,"[8090556, 931688, 12263463, 1043726, 842385]"
420,527,"[6514259, 955075, 5567582, 1011926, 1035788]"
421,528,"[1121393, 1039672, 1070820, 904422, 981760]"
422,530,"[849697, 1131506, 1137694, 7409618, 926796]"
423,532,"[1015539, 870515, 6602729, 1111129, 950638]"
424,534,"[993466, 855718, 5591894, 1130111, 1055915]"
425,536,"[7025044, 992985, 899201, 1071759, 844759]"
426,537,"[1116635, 1057260, 902659, 937626, 1124971]"
427,538,"[12352204, 1082212, 867447, 999076, 871754]"
428,539,"[923746, 981760, 1126899, 878715, 14077333]"
429,540,"[1000237, 1087753, 5569993, 941472, 993441]"
430,541,"[1096066, 1060408, 1079023, 1002261, 978129]"
431,542,"[824796, 1089108, 1082990, 835619, 1075786]"
432,543,"[879734, 886481, 820486, 996955, 7443013]"
433,544,"[1085604, 995895, 5567428, 1067928, 881260]"
434,545,"[1070076, 13381458, 949742, 851865, 7443013]"
435,548,"[824073, 1098435, 1012913, 1121213, 970028]"
436,550,"[997309, 1072693, 907957, 9707137, 8203851]"
437,551,"[13842088, 12298966, 1011926, 13381584, 881154]"
438,553,"[1036501, 842416, 1017254, 1030362, 1037332]"
439,554,"[1072086, 1069103, 1135681, 916416, 1011920]"
440,557,"[905436, 819330, 846634, 1135932, 1022984]"
441,558,"[983096, 891061, 1044068, 833724, 819112]"
442,560,"[978343, 5592232, 831181, 999621, 840640]"
443,561,"[893042, 914012, 9707137, 5567148, 835080]"
444,562,"[1115069, 901470, 957951, 907957, 891463]"
445,564,"[1039505, 1079338, 10285144, 1017472, 8011291]"
446,567,"[877662, 1089766, 824502, 1076875, 975092]"
447,568,"[15717057, 905817, 5572738, 1099905, 1104649]"
448,569,"[1028473, 921406, 981677, 6391080, 12428017]"
449,570,"[1018740, 819255, 1043751, 970866, 6464086]"
450,573,"[849697, 9878513, 1009361, 8249063, 1082212]"
451,574,"[978906, 1059922, 891505, 826952, 1024032]"
452,575,"[953561, 1011920, 897270, 855718, 8019233]"
453,577,"[841266, 889989, 1110244, 1020739, 823687]"
454,578,"[847207, 1006483, 13008321, 955075, 942166]"
455,579,"[948670, 13842088, 993466, 852856, 1037892]"
456,580,"[1118946, 966348, 887342, 7167967, 917438]"
457,581,"[988136, 983795, 1034413, 989935, 913038]"
458,582,"[1021324, 920455, 5576075, 8090546, 1101744]"
459,583,"[1076306, 8020166, 1135468, 845091, 1038443]"
460,585,"[1073150, 970605, 1036501, 837579, 5568072]"
461,586,"[980666, 906335, 921614, 887393, 937928]"
462,587,"[911470, 1070820, 905636, 890695, 919427]"
463,588,"[5580793, 896611, 866355, 916654, 1056746]"
464,590,"[1075175, 827683, 1139216, 1031083, 936889]"
465,591,"[1067820, 1065017, 935993, 926905, 857538]"
466,592,"[1078666, 977481, 9707498, 896611, 1139702]"
467,593,"[1104027, 846760, 984575, 988116, 15717057]"
468,594,"[872062, 938139, 1091158, 1093603, 969419]"
